mu,rho,alpha,beta,V0,sigma_v,lambda,mu_y,sigma_y,LL
-0.00809516036347468,-0.987086017985519,0.00482318167780519,-1.25291478232289,0.0033679588225526,0.0767311748661943,0.00675606410895937,0.0456050591263613,0.764818013487772,485.609075669548
-0.00856333014342726,-0.987086017985519,0.00482864746358641,-1.26424277973454,0.0033679588225526,0.0767311748661943,0.0188876830401945,0.131379434129521,0.785099477831769,521.996447946627
-0.0087759577679951,-0.987086017985519,0.00486900394535879,-1.29014042559755,0.0033679588225526,0.0767311748661943,0.0227142043450186,-0.00831228806524303,0.740609473056315,503.628873329247
-0.00883265423452855,-0.987086017985519,0.00486069849769201,-1.21156944273331,0.0033679588225526,0.0767311748661943,0.00826002287292965,0.0206399901165822,0.680230685752644,495.929875773838
-0.00877013757656954,-0.987086017985519,0.00481232418126544,-1.22470002822804,0.0033679588225526,0.0789614738131496,0.0173289716852249,-0.0542634936211578,0.723995663312699,504.724232050148
-0.00743812001951107,-0.987086017985519,0.00472036151288312,-1.27461237666085,0.0033679588225526,0.0789614738131496,0.0233212018663798,-0.00993799409736808,0.693894869228896,488.084083684998
-0.0070648758409544,-0.987086017985519,0.00475591666325082,-1.24526212937356,0.0033679588225526,0.0789614738131496,0.0118273384282953,-0.0270541112117821,0.652925043819533,436.145148196862
-0.00698176010436967,-0.987086017985519,0.004687867918962,-1.2238454889441,0.0033679588225526,0.0764500764824618,0.00644972209062823,-0.0628123970280186,0.657806108997612,458.449009684118
-0.00769888001025404,-0.987086017985519,0.00476116299469166,-1.24349434218446,0.0033679588225526,0.0764500764824618,0.0121934148846414,-0.147114115422989,0.801428138839976,507.529823767681
-0.00748935092720839,-0.987086017985519,0.00480088926417321,-1.2482433625009,0.0033679588225526,0.0764500764824618,0.0328686098693281,0.0750155888678123,0.734851568704117,482.227430415369
-0.0086049997611723,-0.987086017985519,0.00487816436267511,-1.25793287700308,0.0033679588225526,0.0764500764824618,0.00305299814772867,0.119422723061595,0.735113650606549,517.537294248782
-0.00893246819547068,-0.987086017985519,0.00490164578427871,-1.26851474975218,0.0033679588225526,0.0760600418391952,0.00803452118868144,0.0363985318224619,0.695087677789627,479.154039819163
-0.00940193625429855,-0.987086017985519,0.00486938741583749,-1.20507080997085,0.0033679588225526,0.0760600418391952,0.0157157561369894,0.0947067266668824,0.761679031906207,497.434204995203
-0.00908239915751285,-0.987086017985519,0.00485285082758885,-1.21237375520588,0.0033679588225526,0.0760600418391952,0.0095357794193327,0.0204884045403508,0.659072463154576,486.695259990049
-0.00828494537399013,-0.987086017985519,0.00483243949420627,-1.22194679310756,0.0033679588225526,0.0760600418391952,0.00114399973325058,-0.0813108781355186,0.749253228505644,499.180022179751
-0.00879779272493308,-0.987086017985519,0.0047746845900182,-1.21098601757081,0.0033679588225526,0.0760600418391952,0.0211243465967489,0.0145697217031385,0.761358081283114,494.394966060696
-0.00779477018071556,-0.987086017985519,0.0047635799129077,-1.22216865885948,0.0033679588225526,0.0768278842628964,0.0277190962070019,0.138147024705693,0.710263941469739,497.143349147381
-0.00756673759235016,-0.987086017985519,0.00476377778750046,-1.25094313168385,0.0033679588225526,0.0768278842628964,0.0124129083942878,0.0313386829505628,0.648130626099516,460.915981230394
-0.00718624407790824,-0.987086017985519,0.00474533598892121,-1.21479491660322,0.0033679588225526,0.0766280905795917,0.00429108209901691,-0.0323543417966995,0.72364007496201,493.261038756009
-0.00695285098002305,-0.987086017985519,0.00470434517788715,-1.21465157274389,0.0033679588225526,0.0766280905795917,0.0179642435393871,0.0516412614553636,0.753793458767832,517.267224207449
-0.00677473647194457,-0.987086017985519,0.00469083926182083,-1.20375462420009,0.0033679588225526,0.0766280905795917,0.012337023250907,-0.00953329449038542,0.767299805861471,508.828062766122
-0.00666188828049949,-0.987086017985519,0.00463132942021396,-1.20042837717547,0.0033679588225526,0.0766280905795917,0.0215625696049664,0.0682474246826066,0.723551612870667,507.277737421679
-0.00606842588872046,-0.987086017985519,0.00464233672975239,-1.21281250677396,0.0033679588225526,0.0766280905795917,0.0212412495539331,0.162358979950506,0.742752409625676,463.829691097182
-0.00595658633918666,-0.987086017985519,0.00466570159836333,-1.21622496034978,0.0033679588225526,0.0766280905795917,0.0144194257875854,-0.00938010877892254,0.688862596198284,487.011442640149
-0.00640643739101493,-0.987086017985519,0.00469492568037915,-1.23216606281089,0.0033679588225526,0.0766280905795917,0.0229030356233736,-0.0696011779788297,0.637205653407532,439.957628166169
-0.006903026589673,-0.987086017985519,0.00477167674826299,-1.25802692465579,0.0033679588225526,0.0766280905795917,0.0496574186690485,0.0808972194417305,0.616935203037271,431.798791755651
-0.00755748301128199,-0.987086017985519,0.00471026919764128,-1.18764901677819,0.0033679588225526,0.0766280905795917,0.0139605689912847,0.18961384362088,0.722337145059237,460.065121164988
-0.00689215362261117,-0.987086017985519,0.0047344224006087,-1.22272087741768,0.0033679588225526,0.0766280905795917,0.00394608903047795,-0.0368296353088418,0.714427358390947,481.847843137825
