XBTEUR KRKN Curncy,,,,
42235,207.91,230.18,,
42236,212.75,207.91,,
42237,206.98,212.75,,
42238,201.31,#N/A N/A,,
42239,202.66,#N/A N/A,,
42240,188.4,206.98,,
42241,198.68,188.4,,
42242,201.35,198.68,,
42243,202.68,201.35,,
42244,209.5,202.68,,
42245,204.66,#N/A N/A,,
42246,205,#N/A N/A,,
42247,205.74,209.5,,
42248,202.21,205.74,,
42249,204.63,202.21,,
42250,204.34,204.63,,
42251,207.35,204.34,,
42252,209.9,#N/A N/A,,
42253,215.44,#N/A N/A,,
42254,216.06,207.35,,
42255,218.03,216.06,,
42256,215,218.03,,
42257,213.12,215,,
42258,212.74,213.12,,
42259,208.71,#N/A N/A,,
42260,203.79,#N/A N/A,,
42261,205.45,212.74,,
42262,204.47,205.45,,
42263,202.2,204.47,,
42264,204.5,202.2,,
42265,206.41,204.5,,
42266,204.63,#N/A N/A,,
42267,205,#N/A N/A,,
42268,203.2,206.41,,
42269,206.73,203.2,,
42270,205.64,206.73,,
42271,209.82,205.64,,
42272,209.1,209.82,,
42273,209.39,#N/A N/A,,
42274,207.77,#N/A N/A,,
42275,211.2,209.1,,
42276,210.15,211.2,,
42277,210.41,210.15,,
42286,214.99,210.41,,
42287,215.5,#N/A N/A,,
42288,217.33,#N/A N/A,,
42289,216.58,214.99,,
42290,218.83,216.58,,
42291,221.48,218.83,,
42292,222.37,221.48,,
42293,228.45,222.37,,
42294,234.73,#N/A N/A,,
42295,229.68,#N/A N/A,,
42296,232,228.45,,
42297,237.2,232,,
42298,235.49,237.2,,
42299,246.5,235.49,,
42300,250.42,246.5,,
42301,253,#N/A N/A,,
42302,262.26,#N/A N/A,,
42303,257.81,250.42,,
42304,266.35,257.81,,
42305,275,266.35,,
42306,284.9,275,,
42307,291.6,284.9,,
42308,284.23,#N/A N/A,,
42309,294.14,#N/A N/A,,
42310,324.98,291.6,,
42311,359.99,324.98,,
42312,360,359.99,,
42313,374.9,360,,
42314,341,374.9,,
42315,356,#N/A N/A,,
42316,345.66,#N/A N/A,,
42317,350.98,341,,
42318,313,350.98,,
42319,290.3,313,,
42320,302.73,290.3,,
42321,310.8,302.73,,
42322,309.74,#N/A N/A,,
42323,300.16,#N/A N/A,,
42324,311.17,310.8,,
42325,314.07,311.17,,
42326,316.45,314.07,,
42327,306,316.45,,
42328,302.2,306,,
42329,306.94,#N/A N/A,,
42330,306.7,#N/A N/A,,
42331,305.15,302.2,,
42332,301.98,305.15,,
42333,309.44,301.98,,
42334,329.72,309.44,,
42335,339.39,329.72,,
42336,337.78,#N/A N/A,,
42337,347.02,#N/A N/A,,
42338,356.82,339.39,,
42339,340,356.82,,
42340,340.03,340,,
42341,331.05,340.03,,
42342,334.77,331.05,,
42343,347.26,#N/A N/A,,
42344,364.23,#N/A N/A,,
42345,362.85,334.77,,
42346,363.46,362.85,,
42347,377.53,363.46,,
42348,381.08,377.53,,
42349,403,381.08,,
42350,385.85,#N/A N/A,,
42351,396.2,#N/A N/A,,
42352,398.15,403,,
42353,421.1,398.15,,
42354,416.13,421.1,,
42355,417.8,416.13,,
42356,422.5,417.8,,
42357,421.49,#N/A N/A,,
42358,404.41,#N/A N/A,,
42359,396.58,422.5,,
42360,398.3,396.58,,
42361,405.59,398.3,,
42362,412.37,405.59,,
42363,413.85,412.37,,
42364,379.64,#N/A N/A,,
42365,387.45,#N/A N/A,,
42366,384.4,413.85,,
42367,393.61,384.4,,
42368,390,393.61,,
42369,397.51,390,,
42370,398.04,397.51,,
42371,399.51,#N/A N/A,,
42372,393.03,#N/A N/A,,
42373,401.5,398.04,,
42374,402.21,401.5,,
42375,401.19,402.21,,
42376,418.2,401.19,,
42377,415.98,418.2,,
42378,414.99,#N/A N/A,,
42379,410.5,#N/A N/A,,
42380,415.08,415.98,,
42381,413,415.08,,
42382,397.57,413,,
42383,400.3,397.57,,
42384,357.01,400.3,,
42385,350.96,#N/A N/A,,
42386,356.16,#N/A N/A,,
42387,355.2,357.01,,
42388,350.6,355.2,,
42389,374.88,350.6,,
42390,375.89,374.88,,
42391,351.96,375.89,,
42392,362.73,#N/A N/A,,
42393,372.99,#N/A N/A,,
42394,363.48,351.96,,
42395,365.36,363.48,,
42396,363.85,365.36,,
42397,351.81,363.85,,
42398,349,351.81,,
42399,350.91,#N/A N/A,,
42400,349.7,#N/A N/A,,
42401,341.3,349,,
42402,343.17,341.3,,
42403,334.37,343.17,,
42404,346.56,334.37,,
