XBTUSD BGN Curncy,Date,Last Price,Closing Price 1d ago,
42540,2016-06-19,760.46,#N/A N/A,
42541,2016-06-20,740.94,754.37,
42542,2016-06-21,651.85,740.94,
42543,2016-06-22,611.11,651.85,
42544,2016-06-23,613.38,611.11,
42545,2016-06-24,657.05,613.38,
42547,2016-06-26,635.51,#N/A N/A,
42548,2016-06-27,642.87,657.05,
42549,2016-06-28,647.39,642.87,
42550,2016-06-29,638.8,647.39,
42551,2016-06-30,665.27,638.8,
42552,2016-07-01,677.36,665.27,
42554,2016-07-03,659.73,#N/A N/A,
42555,2016-07-04,675.83,677.36,
42556,2016-07-05,669.94,675.83,
42557,2016-07-06,675.16,669.94,
42558,2016-07-07,621.5,675.16,
42559,2016-07-08,660.7,621.5,
42561,2016-07-10,649.22,#N/A N/A,
42562,2016-07-11,650.39,660.7,
42563,2016-07-12,667.84,650.39,
42564,2016-07-13,662.44,667.84,
42565,2016-07-14,661.28,662.44,
42566,2016-07-15,669.01,661.28,
42568,2016-07-17,680.74,#N/A N/A,
42569,2016-07-18,673.05,669.01,
42570,2016-07-19,671.2,673.05,
42571,2016-07-20,665.58,671.2,
42572,2016-07-21,664.6,665.58,
42573,2016-07-22,657.65,664.6,
42575,2016-07-24,661.17,#N/A N/A,
42576,2016-07-25,655.94,657.65,
42577,2016-07-26,656,655.94,
42578,2016-07-27,657.22,656,
42579,2016-07-28,656,657.22,
42580,2016-07-29,657.67,656,
42582,2016-07-31,632,#N/A N/A,
42583,2016-08-01,616.76,657.67,
42584,2016-08-02,568.59,616.76,
42585,2016-08-03,568.96,568.59,
42586,2016-08-04,573.56,568.96,
42587,2016-08-05,577.23,573.56,
42589,2016-08-07,591.16,#N/A N/A,
42590,2016-08-08,593.58,577.23,
42591,2016-08-09,586.03,593.58,
42592,2016-08-10,595.34,586.03,
42593,2016-08-11,589.72,595.34,
42594,2016-08-12,586.46,589.72,
42596,2016-08-14,569.41,#N/A N/A,
42597,2016-08-15,568.23,586.46,
42598,2016-08-16,579.56,568.23,
42599,2016-08-17,573.23,579.56,
42600,2016-08-18,574.24,573.23,
42601,2016-08-19,575.4,574.24,
42603,2016-08-21,580.68,#N/A N/A,
42604,2016-08-22,585.96,575.4,
42605,2016-08-23,580.94,585.96,
42606,2016-08-24,579.12,580.94,
42607,2016-08-25,575.71,579.12,
