V0,mu,alpha,beta,sigma2_v,mu_y,sigma2_y,rho,rho_j,mu_v,lambda,LL
0.680027483927603,-0.348994170544113,1.33650757982744,-0.793999049338378,0.0658337002458739,-0.165878043045477,2.59823730357424,-0.044758535314564,-0.937853074671156,0.426994963507511,0.0230097580406188,-322.930604828118
0.680027483927603,-0.694296125689117,1.39186077822044,-0.83093457853559,0.0658337002458739,0.594074318850323,2.53655922666982,-0.0362582997400323,-1.28057410395241,0.358967507378475,0.0140774415777645,-344.970007558105
0.680027483927603,-0.319244317985804,1.6603848909681,-1.01269209145709,0.0658337002458739,0.650434826192806,2.43250694229123,-0.0127095940345619,-2.55217808679325,0.377052926433001,0.0182044807457373,-337.141657201996
0.604686857817699,-0.352975493481084,1.501179959041,-0.919063488315573,0.0658337002458739,0.396271780974364,2.67283672261907,-0.0127095940345619,-0.9831553511745,0.381629100640429,0.00461469057182977,-324.519653928042
0.719526413832374,-0.540574300228184,1.58477527396416,-0.978200344159562,0.0668342342291347,-0.349031176473179,2.56768454208355,-0.0127095940345619,0.530499907542217,0.330083361416088,0.0133446622736014,-329.438532940541
0.76079431814291,-0.464493660898575,1.62725304760571,-1.00274679526492,0.0668342342291347,0.0291305727882578,3.04772202678577,-0.0186823786692943,-0.287161011403027,0.32727915967679,0.0354845804892239,-333.922962342718
0.786114144387529,-0.429948179412715,1.54229265628807,-0.932395794642623,0.0668342342291347,-0.484285928025153,2.84665133538236,-0.0709759629967365,1.90384380552199,0.398184699881396,0.0200863180321283,-320.332414039931
0.786114144387529,-0.188042651340542,1.70766050932477,-1.02604841574474,0.0668342342291347,-0.55636565164742,2.98319697896918,-0.0737202469870443,-0.204087473352482,0.295176100897489,0.00943258349515349,-332.366943302223
0.670234440446632,-0.443066308212036,1.57480329576972,-0.949016092320905,0.0668342342291347,-0.0501089865548799,2.5297217589094,-0.0737202469870443,-0.498621400452635,0.388212081691491,0.0208017823740551,-316.978763417053
0.689032184842643,-0.541009993170352,1.57649896811002,-0.94586553319204,0.0668342342291347,0.139358574346561,2.84433287027916,-0.0737202469870443,-1.00636554024291,0.338264293102203,0.0117467457460831,-324.990169459546
0.78761606689766,-0.553994030293365,1.5510272808474,-0.92632294194117,0.0668342342291347,0.00854621437701342,2.55306699261053,-0.0901262523424899,0.0326230888363607,0.324343786791448,0.0171090894776746,-334.851946690528
0.746370086874602,-0.415311742277358,1.629723560327,-0.974925758830155,0.0668342342291347,-0.376793155086731,2.60198738400586,-0.0901262523424899,-0.532978283023417,0.296001652444737,0.0434265927843012,-336.204666273634
0.851993089344399,-0.65897437276937,1.59072947902933,-0.962967564696855,0.0668342342291347,0.316383530229968,2.38429936706381,-0.0901262523424899,-1.68416839975917,0.361558774515837,0.00419877287857195,-333.446792613939
0.87877835097554,-0.479807296437914,1.62033615410398,-0.988604509600359,0.0668342342291347,0.466641289591049,2.59399238744341,-0.0297519713817573,-1.66558015414924,0.331680987804026,0.0130520790595783,-329.738404890886
0.791410006583509,-0.677698195846605,1.70205624149348,-1.04293211916026,0.0668342342291347,0.118298331072749,2.71106348386728,-0.0297519713817573,-1.5109127265548,0.345998672684762,0.0180653045214059,-322.410214214062
0.790995384098987,-0.366346336715462,1.61442113604814,-0.997478815049009,0.0668342342291347,0.621349257330355,2.75108299812894,-0.0297519713817573,-1.06606230759678,0.363093782324673,0.0153904166205266,-317.833144703522
0.876002284300263,-0.307919530383749,1.71461211742558,-1.05946038880902,0.0668342342291347,-0.336565484109824,2.57257651828035,-0.0547605087216294,0.0658817976858811,0.389546196348411,0.0350841478888319,-317.750408226982
0.957505551254635,-0.556493089577028,1.42888663435032,-0.864939136350852,0.0668342342291347,-0.206898601566521,2.54997715230433,-0.0417960071417387,-0.734606032235142,0.348832225248282,0.0125355530634935,-328.460652453474
0.971334016004234,-0.30313339642389,1.27573600243312,-0.785390894384111,0.0668342342291347,0.607081096679481,2.6072439908974,-0.0113364005683647,-1.56130810500238,0.368718362453028,0.0223361977122574,-331.034768647101
1.07752546152466,-0.502937726550118,1.67413344557075,-1.0188644210714,0.0668342342291347,0.211882460670798,2.80416584882493,-0.0630623990210387,-0.729511900682718,0.310104984072779,0.0316503748767501,-340.425936832568
1.07752546152466,-0.286463339900766,1.50505855273963,-0.926957853943721,0.0739697822737592,0.894185195525646,2.73327085641458,-0.0555981182840657,-1.59937638919353,0.33751577578437,0.0453876726552751,-338.126213725309
