date,mu,rho,alpha,beta,V0,sigma_v,lambda,mu_y,rho_j,sigma_y,mu_v,SSE_SVCJ,RMSE_SVCJ,n_obs,n_contract,exitflag,elapsed_sec
2021-11-14,0.00167482853470602,-0.928575172968208,0.00200362410674039,-1.90854976409619,0.000798003624161408,0.0564286377345012,0.0067,-0.162112385220997,0.688900077664902,0.000166588901963597,0.171748258242237,0.233475506827864,0.00567324955578159,7254,1955,2,600.750904
2021-11-15,-9.19921525703496e-05,-0.860306609057385,0.00388402930796101,-2.00024737783926,0.00167200366679411,0.0750609659196376,0.0067,0.171733620523055,-1.06403117994119,0.0924380269729027,0.000670647491016858,0.817447022586395,0.0077789003363201,13509,3675,2,977.801359791667
2021-11-16,-0.00111734998217493,-0.834269765430325,0.0029291242908441,-1.84671803811819,0.00226755953736167,0.0551415104045501,0.0067,0.281134422991051,-1.05688030387881,0.153720114314713,0.000239282570619056,1.07198589994234,0.00593248591882048,30459,7961,2,1958.88952904167
2021-11-17,-0.000714420142896033,-0.892663816087986,0.00216677772814606,-2.11093334729827,0.00215796040985707,0.0575102911538377,0.0067,0.252804420206302,-1.19759608434652,0.10977599635669,0.0156362288597358,0.505288988254163,0.00539395743171539,17367,4646,2,1092.281292375
2021-11-18,0.000224527762790693,-0.85790150929731,0.0032301235737399,-1.85329942387242,0.00178671944440893,0.068411197836764,0.0067,0.199462772652283,-1.05890935947165,0.0638631745146605,0.00215599152896744,1.58772310672425,0.00822823523806968,23451,6158,2,1923.8969445
2021-11-19,-0.000210612691954023,-0.82109509236395,0.00295493567108546,-2.26152171421592,0.00194725388095441,0.0713894051218991,0.0067,0.231320697650768,-1.02007713656541,0.00954769861830744,0.00810480620214136,2.54843356483358,0.0112132423970035,20268,5330,2,1720.69381716667
2021-11-20,-0.000535452719294241,-0.882546946678929,0.00267069530157933,-1.99831186766609,0.00172103613998189,0.0596402433788665,0.0067,0.37562003749942,-1.0588,0.172208661540239,8.7960103555124e-14,0.315025007168756,0.00540083161608055,10800,2783,2,461.721621291667
2021-11-21,0.000920630627551854,-0.915914346864862,0.003200259745206,-2.40072947935287,0.00126371718760854,0.0692016671678959,0.0067,0.174009944249912,-1.0588,0.357379834569932,3.26333466105365e-07,0.144283538246894,0.00398933525133029,9066,2388,2,739.9968765
2021-11-22,-0.000479321719856814,-0.875090319965153,0.00262325168754613,-1.80886324848021,0.0010768098456078,0.0544119733235825,0.0067,0.222125335703532,-0.701275196337339,0.389696790199477,0.000986350533894867,0.536418838165404,0.0052672013727188,19335,5176,2,1058.315468625
2021-11-23,3.708614836371e-05,-0.869131760025489,0.00350997213710379,-2.34798886317441,0.00219160550367338,0.075839638208317,0.0067,0.22188460689259,-1.05879996884968,4.31383124588447e-14,4.5904879935975e-05,0.565486720506177,0.00594406248448862,16005,4135,2,1460.26556404167
2021-11-24,0.0011196173719614,-0.855096611138404,0.00380514857400242,-2.02339938570113,0.00138277694379679,0.0737363195632722,0.0067,0.097523188912426,-1.03401139020287,0.0137256015308273,0.00192289217165813,0.404252435312646,0.00524352501032927,14703,3877,2,1268.10654395833
2021-11-25,-0.000770710330849419,-0.870987610291677,0.00354904590532767,-2.03744862410204,0.00178558150719246,0.0683702536840924,0.0067,0.27673085995895,-1.33832009846508,0.0135589032889844,0.0107676699925484,0.529037237871019,0.00558723201719018,16947,4381,2,1425.45934404167
2021-11-26,-0.000683321039038357,-0.914892164591762,0.0025087728614572,-2.09015370749399,0.00192099147316145,0.0659075373973985,0.0067,0.211363896356816,-1.0588,0.0435390067258759,1.67310218512812e-13,0.954468529103941,0.00543591707299175,32301,8493,2,1516.853029
2021-11-27,-1.80958936524106e-05,-0.892101622246222,0.00364653311894906,-1.9674095738648,0.00144487901180028,0.0626637651519143,0.0067,0.110220550034703,-1.05880459293501,0.0596535119777247,1.0832474237123e-05,0.368795064264369,0.00574857832092954,11160,3003,2,816.632285041667
2021-11-28,0.00178344328978233,-0.91780969625293,0.00358365079960519,-2.22722778026333,0.000929382970530362,0.0753442863589599,0.0067,-0.108345423991889,-1.06843674464719,0.0802753425130667,0.00223703515992307,0.611891202535524,0.00604046779601747,16770,4391,2,1563.40507479167
