mu,V0,sigma_BS,LL
-0.00245742754765758,0.027262599397877,0.165113898257769,-15.6179001471935
-0.00849197197291979,0.027262599397877,0.165113898257769,-15.5594935824534
-0.0047476861100278,0.027262599397877,0.165113898257769,-15.3260639394204
-0.0044213778262004,0.0282653621831761,0.168123056667359,-15.4270373797491
-0.0106926767353774,0.0285060847732061,0.168837450742441,-16.2060294284837
-0.00387007763939451,0.0285060847732061,0.168837450742441,-15.4973237017786
-0.00459098860364671,0.0285060847732061,0.168837450742441,-15.4338847775732
-0.0112932155717038,0.0285060847732061,0.168837450742441,-16.4085942890424
2.48306265755059e-05,0.0285060847732061,0.168837450742441,-16.4054135317076
-0.00126528091342145,0.0285060847732061,0.168837450742441,-15.9989526435336
-0.00831278997588145,0.0285060847732061,0.168837450742441,-15.6263310780935
-0.00821408223359852,0.0285060847732061,0.168837450742441,-15.6099811161751
-0.00487242179528394,0.0285060847732061,0.168837450742441,-15.4179898719502
0.000647634039416447,0.0285060847732061,0.168837450742441,-16.6390971531845
-0.00944685673854747,0.0285060847732061,0.168837450742441,-15.8581412485587
0.00397292735493354,0.0457258863323512,0.213836120270527,-19.4541112082609
-0.0099843619851794,0.0457258863323512,0.213836120270527,-17.1430032309324
-0.00560316762044313,0.0457258863323512,0.213836120270527,-16.5494232942969
-0.00145073722211243,0.0457258863323512,0.213836120270527,-17.1009056235492
-0.00165053729795458,0.0457258863323512,0.213836120270527,-17.0495413488575
-0.00347635534817541,0.0535288822832586,0.231363096200018,-17.1292073888194
-0.00603304616453854,0.0535288822832586,0.231363096200018,-16.9866737106025
0.000265279444371349,0.0500975898946573,0.223824909012954,-17.8931573042517
-0.00787932987178296,0.0305310878957317,0.174731473683855,-15.7133511016763
-0.00606700333724739,0.0305310878957317,0.174731473683855,-15.5604174897368
-0.000768975535284272,0.00238093842557493,0.0487948606471514,-13.9053188929631
-0.00994494319646148,0.00238093842557493,0.0487948606471514,-13.904484985551
-0.0113313652864047,0.00238093842557493,0.0487948606471514,-14.3676723393814
-0.00115849582588142,0.00238093842557493,0.0487948606471514,-13.7970004249463
0.00166600332238395,0.00238093842557493,0.0487948606471514,-14.8000394236958
-0.00712080920728526,0.00238093842557493,0.0487948606471514,-13.337194981771
-3.26126409644269e-06,0.00238093842557493,0.0487948606471514,-14.1462368792778
-0.0021809729847966,0.00238093842557493,0.0487948606471514,-13.5583459774193
-0.00798989348960848,0.00238093842557493,0.0487948606471514,-13.4580126256036
-0.0150739115519962,0.00238093842557493,0.0487948606471514,-16.2253286214235
-0.00836106218792385,0.00238093842557493,0.0487948606471514,-13.5241760577057
0.00404688577407,0.022540864948544,0.150136154701471,-17.8417086944918
-0.00777150920500199,0.022540864948544,0.150136154701471,-15.0459258394686
-0.00425904063253339,0.022540864948544,0.150136154701471,-14.9592878720117
-0.00591559793122732,0.022540864948544,0.150136154701471,-14.9034552471744
-0.00803205411798982,0.022540864948544,0.150136154701471,-15.083269748682
-0.00598229752759734,0.022540864948544,0.150136154701471,-14.9048221721212
-0.00717220680830924,0.022540864948544,0.150136154701471,-14.9762346637569
-0.00678136903209259,0.0307763054689278,0.175431768699195,-15.6142907092592
-0.00279645248900441,0.0307763054689278,0.175431768699195,-15.8254669403178
-0.00609960317248542,0.0307763054689278,0.175431768699195,-15.5796071347453
-0.00379237159662923,0.0307763054689278,0.175431768699195,-15.6790843300406
-0.00287419103641906,0.0307150027448621,0.175256962043914,-15.8072300840543
0.00160970518999055,0.0307150027448621,0.175256962043914,-17.216979671014
-0.00882035407430579,0.0307150027448621,0.175256962043914,-15.8879138429633
-0.00528769589721237,0.0182495772511066,0.13509099618815,-14.493007849104
-0.0041394989542234,0.0182495772511066,0.13509099618815,-14.558174857128
-0.0106422571796628,0.0182495772511066,0.13509099618815,-15.2843838606202
-0.00254314361043458,0.0182495772511066,0.13509099618815,-14.7865950400525
-0.00904223059444384,0.0182495772511066,0.13509099618815,-14.8589410366536
-0.00490239121173019,0.0182495772511066,0.13509099618815,-14.5056298214585
-0.00649533356334539,0.0152220384565574,0.123377625429238,-14.1900476726242
-0.00896442862974186,0.0152220384565574,0.123377625429238,-14.5197050025913
-0.0111449831419856,0.010588425177896,0.102900073750683,-14.5738452142154
-0.00738500973054744,0.010588425177896,0.102900073750683,-13.7034335901698
-0.00480155929728964,0.010588425177896,0.102900073750683,-13.6212032187114
-0.00331726716899844,0.010588425177896,0.102900073750683,-13.7640007818179
0.00116680491237791,0.010588425177896,0.102900073750683,-15.0377684902093
-0.000350771920371215,0.010588425177896,0.102900073750683,-14.4649776315298
-0.00902082397607762,0.010588425177896,0.102900073750683,-13.9727449752055
-0.00285015778869835,0.010588425177896,0.102900073750683,-13.8376301979776
-0.00512025824297154,0.010588425177896,0.102900073750683,-13.6086288800559
-0.00277473494131644,0.010588425177896,0.102900073750683,-13.8508069032447
-0.00582644863507615,0.010588425177896,0.102900073750683,-13.6035471338501
-0.00276579170295743,0.010588425177896,0.102900073750683,-13.8523930752598
-0.00219499452982262,0.010588425177896,0.102900073750683,-13.9640454076771
-0.0114230392706289,0.010588425177896,0.102900073750683,-14.6735545715129
-0.00375746863078675,0.010588425177896,0.102900073750683,-13.707184226958
-0.00654133032060799,0.010588425177896,0.102900073750683,-13.6303790730279
