date,mu,rho,alpha,beta,V0,sigma_v,lambda,mu_y,sigma_y,SSE_SVJ,RMSE_SVJ,n_obs,n_contract,exitflag,elapsed_sec
2021-11-12,0.00181442213932769,0.287813953605302,0.000210944162984806,0.871894609836899,0.000577880894929416,0.0394338118261213,0.0067,-0.123524214618717,0.0772569779587159,0.681348788673624,0.00563285108100786,21474,5447,2,651.029539791667
2021-11-13,0.00368601878063178,-0.418219772695034,0.000231478152301305,0.779454988097886,0.000818237688932969,0.0257589931976153,0.0067,-0.321491980395822,8.90555822001124e-05,0.304101338873165,0.00616736897989973,7995,2167,2,738.199360291667
2021-11-14,0.00391372643947193,0.809980017883481,0.000302397026337326,0.800957466844788,0.000887887822145277,0.0147059359802862,0.0067,-0.376881440702372,0.0965111831213567,0.101780471155842,0.00374579023250475,7254,1955,2,278.176234625
2021-11-15,0.00253590412121001,-0.149236874410356,0.000434609567314896,0.601237616900406,0.00147856656677801,0.0417993662312699,0.0067,-0.252594417745636,0.187390271199934,0.372685231430371,0.00525242053644086,13509,3675,2,1259.36698320833
2021-11-16,-0.000473896677845112,-0.382017856632184,0.000179646223416655,0.888817880304136,0.00169069074948182,0.0259406740541652,0.0067,0.143798139228878,0.0286475411522971,0.929598511031151,0.00552446071054841,30459,7961,2,1365.10270820833
2021-11-17,0.000997177474679435,-0.62391013143536,0.000567856240389593,0.572206094496661,0.00158362268763247,0.0161434331552824,0.0067,0.00645092438999983,0.151097172772854,0.475432216181901,0.00523217066285285,17367,4646,0,3507.429760375
2021-11-18,0.000695824927544121,0.629975643579875,0.000756575409547832,0.556022211025452,0.00150503625945446,0.016858504469934,0.0067,0.101181446872708,0.211769498664562,1.00162093169644,0.00653538252542192,23451,6158,2,2286.31905675
2021-11-19,-0.000276720583009706,-0.293751715375761,0.000324183408185596,0.694554794763164,0.000997423319426925,0.0386247679730861,0.0067,0.2607306802454,1.00000334992325e-08,1.59651660237986,0.0088752638266083,20268,5330,2,962.063303416667
2021-11-20,0.00187783447391879,0.0826999423764884,0.000394800499195854,0.82004403340673,0.00129582165186146,0.0304742747324652,0.0067,-0.00707910241540804,0.167882462642062,0.344320897629077,0.00564637623571835,10800,2783,2,292.209052666667
2021-11-21,0.0020520400928536,0.307931578727642,0.000662291784352557,0.596120770993048,0.00105119034027722,0.0383182972657689,0.0067,-0.150814858294673,0.135526334956807,0.11098328158574,0.00349881454800231,9066,2388,2,373.387320958333
2021-11-22,-0.000579991440861713,-0.215936811837739,6.58678751156448e-05,0.925791055018684,0.00111400694520626,0.0164413696817381,0.0067,0.202763974022301,0.370904137669726,0.602091484885022,0.00558032064763186,19335,5176,2,986.061729125
2021-11-23,-0.00047447358655123,-0.999978900980513,0.000704805065236121,0.471888384240235,0.000904063194077137,0.0154067162348767,0.0067,0.335853656925475,1.00000228261023e-08,0.370033226012851,0.00480831068798135,16005,4135,2,2194.29076708333
2021-11-24,0.00146858308983803,0.718038364927984,0.000486118960973374,0.812942486701041,0.00125323865250749,0.0188836553030448,0.0067,-0.0480056289427652,0.124124911528865,0.374831152294182,0.0050491103260833,14703,3877,2,1568.28942295833
2021-11-25,0.00198133071822689,0.125332630867173,0.000545036712403387,0.75441439320714,0.000675777828222103,0.0110478793784435,0.0067,-0.13340496802413,0.0182302569260657,0.865911397497339,0.00714809495953712,16947,4381,2,1009.18417570833
2021-11-26,-0.00125364582927003,-0.870530899228401,8.43496918282695e-05,0.92433059991342,0.00163795382053793,0.012302947720803,0.0067,0.324447266788076,1.00000271326568e-08,1.24946036223043,0.00621946828694225,32301,8493,2,3150.88578341667
2021-11-27,-0.000364141553481311,-0.687021953952758,0.000269568547302662,0.885056180771029,0.0008599758247287,1.00128293836339e-08,0.0067,0.118138211595952,1.00000279097476e-08,0.385825753888297,0.00587981293658244,11160,3003,3,552.537963375
2021-11-28,0.00165046342949172,-0.112296384076042,0.000477736817181298,0.781753526300243,0.000883123451338431,0.0238194379047557,0.0067,-0.0762745152695011,0.0853023226735286,0.557780037501396,0.00576719920005219,16770,4391,2,539.528830458333
2021-11-29,-0.000528879443625881,-0.300349811967837,0.000346376790800355,0.794146051198684,0.000364573749183626,0.0368588361247983,0.0067,0.13903696721786,0.302823896820302,0.418697768532577,0.00468742628563689,19056,4914,2,734.749701333333
2021-11-30,-0.000616255595563341,0.430692147848114,0.000313708495439491,0.856237242641843,0.00105790279095195,0.023415517220134,0.0067,0.301841988743843,1.00000410443481e-08,0.711135185998781,0.00580516107278491,21102,5487,2,1630.70341779167
2021-12-01,0.000832384766879973,-0.116153418037668,0.000619581866591938,0.740647857808232,0.00133916595062155,0.0176606496713854,0.0067,0.0532017330871047,4.59985368016586e-08,0.363040970450283,0.00486877067419651,15315,4124,2,851.385151375
2021-12-02,0.00173080222425634,-0.111945719197312,0.000655370394467824,0.681096605229028,0.000840383031732251,0.0369816310808112,0.0067,-0.105279173431927,1.00000402480149e-08,0.663495396954361,0.006537371309353,15525,4186,2,471.109420083333
2021-12-03,0.000134938071012403,-0.0918463254894672,0.000313826508882956,0.794202925999593,0.00088449158723847,0.0273595415211496,0.0067,0.189852390801453,0.00679285551264066,1.06799849334161,0.00618770957746659,27894,7328,2,1141.636852
2021-12-04,0.00174805486317051,0.50493900364228,0.000251450612852336,0.828083787547314,0.00211023556879729,0.0476407353511502,0.0067,0.000386510203630811,0.194868606370114,5.52824358139511,0.0113241228911099,43110,11708,2,1364.98566220833
2021-12-05,-0.000168797739318014,0.124243094144303,0.000160369162645551,0.894683921031938,0.00188068549421289,0.0171894886474774,0.0067,0.222286328241488,0.168475478966884,0.944845465757902,0.00795972168477821,14913,4088,0,2916.50784945833
2021-12-06,0.000722880198297094,-0.669759235604063,0.000189814493903908,0.751049857847096,0.00196605354216224,0.0440769788440388,0.0067,0.0951612531768804,0.211196636598913,0.539803632095606,0.00484824631821642,22965,6072,2,910.615297083333
2021-12-07,0.00183631219992244,-0.999999999912943,0.00038306579347046,0.710498878818305,0.000827879431699884,0.000395268213977537,0.0067,-0.195763005611482,1.00000420138557e-08,1.12733086485409,0.00766737471400129,19176,5134,3,1397.46898975
2021-12-08,0.00070995275599466,-0.297576136689964,0.000343935975655663,0.806607659087385,0.00104883263531987,0.0255087821296614,0.0067,0.0866001234859377,0.218215919058041,1.45774449676962,0.00997554692250712,14649,3783,2,561.19801325
2021-12-09,0.000836815860594219,0.22866898568793,4.87917712695716e-05,0.939943411670349,0.00129617385450603,0.0365927759867223,0.0067,0.244965270435803,0.0182172862247836,0.542169383441978,0.00563425210079276,17079,4410,2,813.757772208333
2021-12-10,0.00176647786040985,0.477536462805802,0.000557905683658189,0.741504028612748,0.00109794768172216,0.0483511733682069,0.0067,-0.0318106811565322,0.00275948236280194,1.64157873187318,0.00826675975976919,24021,6474,2,1776.955875
2021-12-11,0.00345663012683895,0.877398506803026,1.19390698326803e-05,0.998999999999977,0.00126309519433056,0.00198712103784425,0.0067,-0.208772894603928,0.210604289960555,0.234581295406891,0.00432874367910084,12519,3461,2,952.5748195
2021-12-12,0.00111960849827367,0.116832715041924,0.000457669128664413,0.774905621391736,0.000543842775514933,0.0273546135898894,0.0067,-0.0174310111875163,0.0801939623400988,0.381346362694643,0.00540821957631436,13038,3415,2,785.028326416667
2021-12-13,0.000339304586587483,0.0366374950584911,0.000338591991480231,0.832141541036806,0.00114738235284826,0.0263175496538713,0.0067,0.190956925873834,1.00000301412538e-08,1.63269521645245,0.00884147907310511,20886,5514,2,674.923916125
2021-12-14,0.00231620484527056,-0.00315973033119002,0.000201456195687887,0.807619146765102,0.00190591702961885,0.0374738967385811,0.0067,-0.0939490909829761,0.350659791150873,0.336624997019908,0.00449277031801244,16677,4529,2,484.46405275
